DateTime,Consumption kWh,Off-peak,Mid-peak,On-peak
12/10/2011 08:00:00,0.38,1,0,0
12/10/2011 09:00:00,0.41,1,0,0
12/10/2011 10:00:00,0.47,1,0,0
12/10/2011 11:00:00,3.63,1,0,0
12/10/2011 12:00:00,0.42,1,0,0
12/10/2011 13:00:00,0.36,1,0,0
12/10/2011 14:00:00,0.47,1,0,0
12/10/2011 15:00:00,0.31,1,0,0
12/10/2011 16:00:00,0.3,1,0,0
12/10/2011 17:00:00,3.73,1,0,0
12/10/2011 18:00:00,0.59,1,0,0
12/10/2011 19:00:00,0.5,1,0,0
12/10/2011 20:00:00,0.32,1,0,0
12/10/2011 21:00:00,0.32,1,0,0
12/10/2011 22:00:00,0.32,1,0,0
12/10/2011 23:00:00,0.3,1,0,0
12/10/2011 00:00:00,0.32,1,0,0
12/11/2011 01:00:00,0.31,1,0,0
12/11/2011 02:00:00,0.28,1,0,0
12/11/2011 03:00:00,0.27,1,0,0
12/11/2011 04:00:00,0.37,1,0,0
12/11/2011 05:00:00,0.3,1,0,0
12/11/2011 06:00:00,0.28,1,0,0
12/11/2011 07:00:00,0.28,1,0,0
12/11/2011 08:00:00,0.3,1,0,0
12/11/2011 09:00:00,0.52,1,0,0
12/11/2011 10:00:00,0.52,1,0,0
12/11/2011 11:00:00,0.44,1,0,0
12/11/2011 12:00:00,0.36,1,0,0
12/11/2011 13:00:00,0.25,1,0,0
12/11/2011 14:00:00,0.28,1,0,0
12/11/2011 15:00:00,0.3,1,0,0
12/11/2011 16:00:00,0.4,1,0,0
12/11/2011 17:00:00,0.28,1,0,0
12/11/2011 18:00:00,0.37,1,0,0
12/11/2011 19:00:00,0.8,1,0,0
12/11/2011 20:00:00,0.68,1,0,0
12/11/2011 21:00:00,0.75,1,0,0
12/11/2011 22:00:00,0.67,1,0,0
12/11/2011 23:00:00,0.52,1,0,0
12/11/2011 00:00:00,0.39,1,0,0
12/12/2011 01:00:00,0.34,1,0,0
12/12/2011 02:00:00,0.28,1,0,0
12/12/2011 03:00:00,0.29,1,0,0
12/12/2011 04:00:00,0.28,1,0,0
12/12/2011 05:00:00,0.32,1,0,0
12/12/2011 06:00:00,0.28,1,0,0
12/12/2011 07:00:00,0.4,1,0,0
12/12/2011 08:00:00,0.35,0,0,1
12/12/2011 09:00:00,0.27,0,0,1
12/12/2011 10:00:00,3.33,0,0,1
12/12/2011 11:00:00,0.37,0,0,1
12/12/2011 12:00:00,0.36,0,1,0
12/12/2011 13:00:00,0.75,0,1,0
12/12/2011 14:00:00,0.35,0,1,0
12/12/2011 15:00:00,0.35,0,1,0
12/12/2011 16:00:00,0.35,0,1,0
12/12/2011 17:00:00,0.33,0,1,0
12/12/2011 18:00:00,0.31,0,0,1
12/12/2011 19:00:00,0.41,0,0,1
12/12/2011 20:00:00,0.89,1,0,0
12/12/2011 21:00:00,0.43,1,0,0
12/12/2011 22:00:00,0.54,1,0,0
12/12/2011 23:00:00,0.45,1,0,0
12/12/2011 00:00:00,0.44,1,0,0
12/13/2011 01:00:00,0.34,1,0,0
12/13/2011 02:00:00,0.27,1,0,0
12/13/2011 03:00:00,0.26,1,0,0
12/13/2011 04:00:00,0.32,1,0,0
12/13/2011 05:00:00,0.29,1,0,0
12/13/2011 06:00:00,0.28,1,0,0
12/13/2011 07:00:00,0.32,1,0,0
12/13/2011 08:00:00,0.33,0,0,1
12/13/2011 09:00:00,0.27,0,0,1
12/13/2011 10:00:00,0.32,0,0,1
12/13/2011 11:00:00,0.82,0,0,1
12/13/2011 12:00:00,1.46,0,1,0
12/13/2011 13:00:00,0.35,0,1,0
12/13/2011 14:00:00,0.27,0,1,0
12/13/2011 15:00:00,0.26,0,1,0
12/13/2011 16:00:00,0.35,0,1,0
12/13/2011 17:00:00,0.34,0,1,0
12/13/2011 18:00:00,0.46,0,0,1
12/13/2011 19:00:00,0.49,0,0,1
12/13/2011 20:00:00,0.4,1,0,0
12/13/2011 21:00:00,0.4,1,0,0
12/13/2011 22:00:00,0.5,1,0,0
12/13/2011 23:00:00,0.4,1,0,0
12/13/2011 00:00:00,0.39,1,0,0
12/14/2011 01:00:00,0.28,1,0,0
12/14/2011 02:00:00,0.29,1,0,0
12/14/2011 03:00:00,0.28,1,0,0
12/14/2011 04:00:00,0.28,1,0,0
12/14/2011 05:00:00,0.4,1,0,0
12/14/2011 06:00:00,0.31,1,0,0
12/14/2011 07:00:00,0.3,1,0,0
12/14/2011 08:00:00,0.33,0,0,1
12/14/2011 09:00:00,0.26,0,0,1
12/14/2011 10:00:00,0.32,0,0,1
12/14/2011 11:00:00,0.35,0,0,1
12/14/2011 12:00:00,0.53,0,1,0
12/14/2011 13:00:00,0.56,0,1,0
12/14/2011 14:00:00,0.33,0,1,0
12/14/2011 15:00:00,0.33,0,1,0
12/14/2011 16:00:00,0.39,0,1,0
12/14/2011 17:00:00,0.36,0,1,0
12/14/2011 18:00:00,0.45,0,0,1
12/14/2011 19:00:00,0.4,0,0,1
12/14/2011 20:00:00,0.48,1,0,0
12/14/2011 21:00:00,0.44,1,0,0
12/14/2011 22:00:00,0.56,1,0,0
12/14/2011 23:00:00,0.43,1,0,0
12/14/2011 00:00:00,0.37,1,0,0
12/15/2011 01:00:00,0.3,1,0,0
12/15/2011 02:00:00,0.27,1,0,0
12/15/2011 03:00:00,0.27,1,0,0
12/15/2011 04:00:00,0.31,1,0,0
12/15/2011 05:00:00,0.29,1,0,0
12/15/2011 06:00:00,0.28,1,0,0
12/15/2011 07:00:00,0.3,1,0,0
12/15/2011 08:00:00,0.33,0,0,1
12/15/2011 09:00:00,0.28,0,0,1
12/15/2011 10:00:00,0.34,0,0,1
12/15/2011 11:00:00,0.39,0,0,1
12/15/2011 12:00:00,0.47,0,1,0
12/15/2011 13:00:00,0.47,0,1,0
12/15/2011 14:00:00,0.37,0,1,0
12/15/2011 15:00:00,0.32,0,1,0
12/15/2011 16:00:00,0.38,0,1,0
12/15/2011 17:00:00,0.47,0,1,0
12/15/2011 18:00:00,0.62,0,0,1
12/15/2011 19:00:00,0.54,0,0,1
12/15/2011 20:00:00,0.37,1,0,0
12/15/2011 21:00:00,0.48,1,0,0
12/15/2011 22:00:00,0.45,1,0,0
12/15/2011 23:00:00,0.4,1,0,0
12/15/2011 00:00:00,0.39,1,0,0
12/16/2011 01:00:00,0.32,1,0,0
12/16/2011 02:00:00,0.27,1,0,0
12/16/2011 03:00:00,0.28,1,0,0
12/16/2011 04:00:00,0.3,1,0,0
12/16/2011 05:00:00,0.29,1,0,0
12/16/2011 06:00:00,0.28,1,0,0
12/16/2011 07:00:00,0.32,1,0,0
12/16/2011 08:00:00,0.33,0,0,1
12/16/2011 09:00:00,0.36,0,0,1
12/16/2011 10:00:00,0.37,0,0,1
12/16/2011 11:00:00,0.33,0,0,1
12/16/2011 12:00:00,0.35,0,1,0
12/16/2011 13:00:00,0.39,0,1,0
12/16/2011 14:00:00,0.4,0,1,0
12/16/2011 15:00:00,0.34,0,1,0
12/16/2011 16:00:00,0.25,0,1,0
12/16/2011 17:00:00,0.38,0,1,0
12/16/2011 18:00:00,0.31,0,0,1
12/16/2011 19:00:00,0.28,0,0,1
12/16/2011 20:00:00,0.34,1,0,0
12/16/2011 21:00:00,0.32,1,0,0
12/16/2011 22:00:00,0.41,1,0,0
12/16/2011 23:00:00,0.35,1,0,0
12/16/2011 00:00:00,0.32,1,0,0
12/17/2011 01:00:00,0.28,1,0,0
12/17/2011 02:00:00,0.29,1,0,0
12/17/2011 03:00:00,0.31,1,0,0
12/17/2011 04:00:00,0.29,1,0,0
12/17/2011 05:00:00,0.31,1,0,0
12/17/2011 06:00:00,0.29,1,0,0
12/17/2011 07:00:00,0.26,1,0,0
12/17/2011 08:00:00,0.38,1,0,0
12/17/2011 09:00:00,0.37,1,0,0
12/17/2011 10:00:00,0.34,1,0,0
12/17/2011 11:00:00,0.41,1,0,0
12/17/2011 12:00:00,0.3,1,0,0
12/17/2011 13:00:00,0.28,1,0,0
12/17/2011 14:00:00,0.28,1,0,0
12/17/2011 15:00:00,0.48,1,0,0
12/17/2011 16:00:00,0.43,1,0,0
12/17/2011 17:00:00,1.29,1,0,0
12/17/2011 18:00:00,3.74,1,0,0
12/17/2011 19:00:00,0.48,1,0,0
12/17/2011 20:00:00,0.29,1,0,0
12/17/2011 21:00:00,0.28,1,0,0
12/17/2011 22:00:00,0.3,1,0,0
12/17/2011 23:00:00,0.27,1,0,0
12/17/2011 00:00:00,0.3,1,0,0
12/18/2011 01:00:00,0.29,1,0,0
12/18/2011 02:00:00,0.31,1,0,0
12/18/2011 03:00:00,0.29,1,0,0
12/18/2011 04:00:00,0.27,1,0,0
12/18/2011 05:00:00,0.29,1,0,0
12/18/2011 06:00:00,0.26,1,0,0
12/18/2011 07:00:00,0.27,1,0,0
12/18/2011 08:00:00,0.72,1,0,0
12/18/2011 09:00:00,0.68,1,0,0
12/18/2011 10:00:00,0.53,1,0,0
12/18/2011 11:00:00,0.4,1,0,0
12/18/2011 12:00:00,1.47,1,0,0
12/18/2011 13:00:00,0.83,1,0,0
12/18/2011 14:00:00,0.59,1,0,0
12/18/2011 15:00:00,0.62,1,0,0
12/18/2011 16:00:00,0.61,1,0,0
12/18/2011 17:00:00,0.67,1,0,0
12/18/2011 18:00:00,0.94,1,0,0
12/18/2011 19:00:00,0.78,1,0,0
12/18/2011 20:00:00,3.35,1,0,0
12/18/2011 21:00:00,0.44,1,0,0
12/18/2011 22:00:00,0.42,1,0,0
12/18/2011 23:00:00,0.39,1,0,0
12/18/2011 00:00:00,0.39,1,0,0
12/19/2011 01:00:00,0.31,1,0,0
12/19/2011 02:00:00,0.28,1,0,0
12/19/2011 03:00:00,0.28,1,0,0
12/19/2011 04:00:00,0.31,1,0,0
12/19/2011 05:00:00,0.3,1,0,0
12/19/2011 06:00:00,0.29,1,0,0
12/19/2011 07:00:00,0.3,1,0,0
12/19/2011 08:00:00,0.32,0,0,1
12/19/2011 09:00:00,0.26,0,0,1
12/19/2011 10:00:00,0.35,0,0,1
12/19/2011 11:00:00,0.35,0,0,1
12/19/2011 12:00:00,1.56,0,1,0
12/19/2011 13:00:00,0.81,0,1,0
12/19/2011 14:00:00,0.35,0,1,0
12/19/2011 15:00:00,0.37,0,1,0
12/19/2011 16:00:00,0.43,0,1,0
12/19/2011 17:00:00,0.37,0,1,0
12/19/2011 18:00:00,0.29,0,0,1
12/19/2011 19:00:00,0.31,0,0,1
12/19/2011 20:00:00,0.67,1,0,0
12/19/2011 21:00:00,1.27,1,0,0
12/19/2011 22:00:00,1.08,1,0,0
12/19/2011 23:00:00,0.46,1,0,0
12/19/2011 00:00:00,0.35,1,0,0
12/20/2011 01:00:00,0.31,1,0,0
12/20/2011 02:00:00,0.29,1,0,0
12/20/2011 03:00:00,0.28,1,0,0
